review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category
es_0825565,product_es_0370490,reviewer_es_0174781,3,"Buen. Buena calidad, y buena presentación.",Contenta,es,jewelry
es_0227934,product_es_0354224,reviewer_es_0411613,3,"Un producto a perfecto, para salir de casa con la Nintendo switch",Versatilidad,es,video_games
es_0468601,product_es_0665460,reviewer_es_0348315,1,No funciona con Nintendo Switch. No hay forma de emparejarlo para poder jugar.,Decepción absoluta,es,video_games
es_0814494,product_es_0692692,reviewer_es_0951508,5,"Recomendado, los utilizo para pc y no me dan ningún problema, se oye bien y te oyen bien",Auriculares Pecham ps4,es,video_games
es_0206329,product_es_0728826,reviewer_es_0493255,4,El cable funciona bien podria ser un poco mas largo pero se adapta perfectamente a la descripcion.envio muy rapido muy recomendado,Perfecto,es,video_games
es_0576973,product_es_0777220,reviewer_es_0261653,3,És muy bonito pero la empuñadura de la espada se rompe fácilmente...,Link,es,video_games
es_0217889,product_es_0461017,reviewer_es_0622595,5,"Lo compré para regalar y repetiré la compra seguro ya que calidad, presentación y precio son estupendas. Sin dudarlo recomendable.",Súper compra.,es,jewelry
es_0601669,product_es_0846593,reviewer_es_0093211,4,Señores: Dos veces he comprado este producto y las dos veces una de las perlas de cada compra me ha venido rota.Por no perder tiempo porque mi señora le gustan mucho vuelvo a pedir otro par y este me viene igual.No quiero hacer ninguna critica adversa a su producto y por eso les envio la foto para que ustedes comprueben.Espero se les ocurra algo para no tener que devolver el producto.Gracias,Otra vez y lo mismo.Producto roto,es,jewelry
es_0337033,product_es_0426943,reviewer_es_0382786,5,"Son muy cómodos y se adaptan perfectamente. Se nota al momento de ponertelos como te sumergen en el juego. Vienen muy bien, con las salidas de Jack y de USB protegidas con una tapita de plástico. Son muy rentables calidad-precio. Recomendados 100%.",Auriculares gaming muy rentables calidad-precio.,es,video_games
es_0287660,product_es_0136095,reviewer_es_0432057,4,"El acabado de este joyero de viaje ""da el pego"", sin ser perfecto. Pero cumple su misión perfectamente. El tiempo dirá cómo aguantan los materiales externos el trote.",Buen precio para lo que ofrece.,es,jewelry
